[ 1.  0.  0.],[ 0.  1.  0.],[ 0.  0.  1.]
[ 0.43573884 -0.51937922 -0.00178414],[-0.51937922  0.61916644  0.0021268 ],[-0.00178414  0.0021268   1.00583601]
[ 0.57741775 -0.51944321 -0.00756186],[-0.51944321  0.62054775  0.0090142 ],[-0.00756186  0.0090142   1.01167169]
[ 0.43858729 -0.52256096 -0.0260255 ],[-0.52256096  0.62270288  0.03101292],[-0.0260255   0.03101292  1.01750771]
[ 0.48087192 -0.54693112 -0.05453412],[-0.54693112  0.62215064  0.06203416],[-0.05453412  0.06203416  1.02330007]
[ 0.62557057 -0.55053006 -0.07822407],[-0.55053006  0.62766831  0.09032736],[-0.07822407  0.09032736  1.02913574]
[ 0.52303129 -0.5729506  -0.08560177],[-0.5729506   0.62771072  0.09378345],[-0.08560177  0.09378345  1.03490061]
[ 0.52775283 -0.57925574 -0.1147914 ],[-0.57925574  0.63586047  0.12600982],[-0.1147914   0.12600982  1.04070254]
[ 0.67142869 -0.58161099 -0.12373831],[-0.58161099  0.63986603  0.13670744],[-0.12373831  0.13670744  1.0465382 ]
[ 0.58146506 -0.6120138  -0.14867343],[-0.6120138   0.64423641  0.15650149],[-0.14867343  0.15650149  1.05212365]
[ 0.60651181 -0.63030622 -0.18029256],[-0.63030622  0.6551004   0.18738603],[-0.18029256  0.18738603  1.05771901]
[ 0.65269051 -0.65943704 -0.21696586],[-0.65943704  0.66631597  0.2192307 ],[-0.21696586  0.2192307   1.06280524]
[ 0.79712888 -0.66255915 -0.22374983],[-0.66255915  0.67105987  0.22741359],[-0.22374983  0.22741359  1.06864089]
[ 0.69505025 -0.68952421 -0.25690072],[-0.68952421  0.68410083  0.25488099],[-0.25690072  0.25488099  1.07409264]
[ 0.73835218 -0.71828426 -0.29203552],[-0.71828426  0.69881771  0.2841227 ],[-0.29203552  0.2841227   1.07905392]
[ 0.78106213 -0.74825873 -0.32954555],[-0.74825873  0.71688651  0.31573075],[-0.32954555  0.31573075  1.08392957]
[ 0.9270217  -0.75298537 -0.33659822],[-0.75298537  0.72327311  0.32433615],[-0.33659822  0.32433615  1.0897652 ]
[ 0.8322652  -0.78433675 -0.3702635 ],[-0.78433675  0.73921871  0.3489655 ],[-0.3702635   0.3489655   1.09494743]
[ 0.98443688 -0.79578175 -0.38554224],[-0.79578175  0.7527457   0.36764017],[-0.38554224  0.36764017  1.10078306]
[ 0.86987477 -0.81487946 -0.40728427],[-0.81487946  0.76340793  0.38155924],[-0.40728427  0.38155924  1.10623779]
[ 0.89605146 -0.84121936 -0.44335067],[-0.84121936  0.78978838  0.41624695],[-0.44335067  0.41624695  1.11165672]
[ 0.95988134 -0.88389179 -0.48556082],[-0.88389179  0.81396144  0.44714688],[-0.48556082  0.44714688  1.11530462]
